,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9,Pred_10,Pred_11,Pred_12,Pred_13,Pred_14,Pred_15,Pred_16,Pred_17
True_0,1377,15,17,0,2,0,3,16,25,7,3,42,37,0,2,0,2,13
True_1,35,501,2,1,1,0,2,16,12,8,3,12,47,0,1,0,1,6
True_2,46,16,392,0,0,1,0,24,28,3,3,6,43,0,2,1,0,6
True_3,0,0,0,427,0,0,0,0,1,0,0,3,3,0,0,0,0,0
True_4,10,2,1,2,557,0,2,2,3,1,1,4,28,0,3,3,1,0
True_5,0,0,0,0,0,165,0,0,5,0,0,0,3,0,0,1,0,0
True_6,9,5,1,0,3,0,336,8,0,6,1,3,6,0,0,1,1,1
True_7,54,14,10,2,2,1,0,1190,75,3,9,29,173,0,5,8,2,3
True_8,48,16,10,2,3,0,4,40,1064,3,3,20,111,0,1,3,2,4
True_9,26,4,2,0,0,1,5,6,3,320,0,11,18,0,0,0,1,4
True_10,7,7,3,0,0,0,1,5,4,0,107,6,9,0,0,0,0,0
True_11,10,2,2,2,0,0,3,12,5,1,1,864,22,0,0,1,5,2
True_12,45,26,14,2,5,1,0,48,78,4,9,33,2026,0,5,2,5,7
True_13,0,0,0,0,1,0,1,0,0,0,0,0,0,164,3,6,0,0
True_14,3,0,0,0,18,1,0,5,8,2,0,2,14,5,911,33,2,0
True_15,3,0,1,1,3,2,0,3,9,1,1,6,11,1,6,380,0,0
True_16,9,0,1,0,0,0,3,4,5,2,1,15,7,0,1,3,321,0
True_17,49,16,3,0,0,0,1,9,9,7,0,12,29,0,0,1,0,449
