,precision,recall,f1-score,support
0,0.7955,0.8821,0.8366,1561.0
1,0.8029,0.7731,0.7877,648.0
2,0.854,0.6865,0.7612,571.0
3,0.9727,0.9839,0.9782,434.0
4,0.9361,0.8984,0.9169,620.0
5,0.9593,0.9483,0.9538,174.0
6,0.9307,0.8819,0.9057,381.0
7,0.8573,0.7532,0.8019,1580.0
8,0.7976,0.7976,0.7976,1334.0
9,0.8696,0.798,0.8322,401.0
10,0.7535,0.7181,0.7354,149.0
11,0.809,0.927,0.864,932.0
12,0.7831,0.8771,0.8274,2310.0
13,0.9647,0.9371,0.9507,175.0
14,0.9691,0.9074,0.9372,1004.0
15,0.8578,0.8879,0.8726,428.0
16,0.9359,0.8629,0.8979,372.0
17,0.9071,0.7675,0.8315,585.0
accuracy,0.8457,0.8457,0.8457,0.8457
macro avg,0.8753,0.8493,0.8605,13659.0
weighted avg,0.8496,0.8457,0.8454,13659.0
