,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9,Pred_10,Pred_11,Pred_12,Pred_13,Pred_14,Pred_15,Pred_16,Pred_17
True_0,1146,26,39,0,2,1,4,86,37,11,0,54,118,0,3,0,6,28
True_1,112,272,12,1,1,1,12,60,37,13,0,26,77,0,1,0,5,18
True_2,88,16,199,0,2,0,5,105,41,2,0,8,89,0,0,1,6,9
True_3,1,0,0,375,4,1,1,5,5,2,0,13,25,0,0,0,2,0
True_4,9,3,2,2,461,0,10,9,11,4,1,6,57,1,23,16,5,0
True_5,0,1,0,2,0,124,8,2,3,5,0,2,16,0,3,5,3,0
True_6,27,7,2,0,2,0,272,12,8,9,1,6,27,0,3,0,1,4
True_7,107,33,49,1,1,0,13,933,124,7,0,45,235,0,3,4,5,20
True_8,66,25,22,0,3,2,9,196,725,5,0,35,228,0,1,5,4,8
True_9,59,18,3,0,1,2,11,17,8,229,0,7,28,0,2,2,5,9
True_10,13,4,9,0,0,0,3,15,14,1,31,9,40,0,0,1,2,7
True_11,62,10,8,2,1,1,8,51,24,2,1,662,75,0,2,1,13,9
True_12,112,41,38,1,19,1,18,255,167,7,4,72,1535,0,9,2,14,15
True_13,0,0,0,0,3,0,2,1,0,0,0,1,2,135,22,9,0,0
True_14,7,5,1,0,18,0,7,12,13,1,0,1,42,7,861,23,3,3
True_15,6,3,5,0,11,2,5,12,12,1,0,15,36,2,34,281,2,1
True_16,16,7,5,1,2,1,12,20,14,4,1,29,21,0,2,3,231,3
True_17,129,19,17,0,0,0,8,59,16,13,0,14,39,0,0,1,1,269
