,precision,recall,f1-score,support
0,0.5847,0.7341,0.651,1561.0
1,0.5551,0.4198,0.478,648.0
2,0.4842,0.3485,0.4053,571.0
3,0.974,0.8641,0.9158,434.0
4,0.8682,0.7435,0.801,620.0
5,0.9118,0.7126,0.8,174.0
6,0.6667,0.7139,0.6895,381.0
7,0.5043,0.5905,0.544,1580.0
8,0.5759,0.5435,0.5592,1334.0
9,0.7247,0.5711,0.6388,401.0
10,0.7949,0.2081,0.3298,149.0
11,0.6587,0.7103,0.6835,932.0
12,0.5706,0.6645,0.614,2310.0
13,0.931,0.7714,0.8438,175.0
14,0.8885,0.8576,0.8728,1004.0
15,0.7938,0.6565,0.7187,428.0
16,0.75,0.621,0.6794,372.0
17,0.6675,0.4598,0.5445,585.0
accuracy,0.6399,0.6399,0.6399,0.6399
macro avg,0.7169,0.6217,0.6538,13659.0
weighted avg,0.6511,0.6399,0.6386,13659.0
