precision,recall,f1-score,support,Model
0.569,0.7636,0.6521,1561.0,model1
0.6803,0.4892,0.5691,648.0,model1
0.6552,0.366,0.4697,571.0,model1
0.9639,0.9217,0.9423,434.0,model1
0.8194,0.8194,0.8194,620.0,model1
0.9162,0.8793,0.8974,174.0,model1
0.767,0.7087,0.7367,381.0,model1
0.5334,0.5253,0.5293,1580.0,model1
0.5872,0.5727,0.5799,1334.0,model1
0.8014,0.5636,0.6618,401.0,model1
0.6727,0.2483,0.3627,149.0,model1
0.705,0.7232,0.714,932.0,model1
0.625,0.7706,0.6902,2310.0,model1
0.958,0.7829,0.8616,175.0,model1
0.8752,0.8944,0.8847,1004.0,model1
0.766,0.7266,0.7458,428.0,model1
0.7592,0.6102,0.6766,372.0,model1
0.7734,0.4667,0.5821,585.0,model1
0.674,0.674,0.674,0.674,model1
0.746,0.6573,0.6875,13659.0,model1
0.6837,0.674,0.6698,13659.0,model1
0.8,0.843,0.821,1561.0,model2
0.8171,0.7099,0.7597,648.0,model2
0.7943,0.6357,0.7062,571.0,model2
0.9724,0.9724,0.9724,434.0,model2
0.9184,0.871,0.894,620.0,model2
0.976,0.9368,0.956,174.0,model2
0.897,0.8688,0.8827,381.0,model2
0.7685,0.7671,0.7678,1580.0,model2
0.7871,0.7429,0.7644,1334.0,model2
0.8307,0.783,0.8062,401.0,model2
0.9277,0.5168,0.6638,149.0,model2
0.7994,0.8981,0.8459,932.0,model2
0.7391,0.8377,0.7853,2310.0,model2
0.9368,0.9314,0.9341,175.0,model2
0.9106,0.9432,0.9266,1004.0,model2
0.9182,0.8131,0.8625,428.0,model2
0.8634,0.8495,0.8564,372.0,model2
0.8641,0.7607,0.8091,585.0,model2
0.8185,0.8185,0.8185,0.8185,model2
0.8623,0.8156,0.8341,13659.0,model2
0.8215,0.8185,0.8176,13659.0,model2
0.8853,0.8161,0.8493,1561.0,model3
0.7576,0.8102,0.783,648.0,model3
0.6036,0.8722,0.7135,571.0,model3
0.9794,0.9862,0.9828,434.0,model3
0.9279,0.9129,0.9203,620.0,model3
0.9819,0.9368,0.9588,174.0,model3
0.9307,0.8819,0.9057,381.0,model3
0.8196,0.7791,0.7988,1580.0,model3
0.7919,0.8186,0.805,1334.0,model3
0.7795,0.8554,0.8157,401.0,model3
0.7794,0.7114,0.7439,149.0,model3
0.883,0.8906,0.8868,932.0,model3
0.8366,0.829,0.8328,2310.0,model3
0.9144,0.9771,0.9448,175.0,model3
0.9706,0.9203,0.9448,1004.0,model3
0.8916,0.8645,0.8778,428.0,model3
0.9322,0.8871,0.9091,372.0,model3
0.8633,0.788,0.8239,585.0,model3
0.8465,0.8465,0.8465,0.8465,model3
0.8627,0.8632,0.8609,13659.0,model3
0.8527,0.8465,0.8481,13659.0,model3
0.8392,0.8559,0.8474,1561.0,model4
0.7561,0.8133,0.7836,648.0,model4
0.8215,0.7093,0.7613,571.0,model4
0.9837,0.9747,0.9792,434.0,model4
0.9355,0.9129,0.9241,620.0,model4
0.9818,0.931,0.9558,174.0,model4
0.8333,0.9318,0.8798,381.0,model4
0.8174,0.8044,0.8108,1580.0,model4
0.7139,0.8793,0.788,1334.0,model4
0.9325,0.7581,0.8363,401.0,model4
0.6845,0.7718,0.7256,149.0,model4
0.9337,0.8616,0.8962,932.0,model4
0.8343,0.8303,0.8323,2310.0,model4
0.9432,0.9486,0.9459,175.0,model4
0.9395,0.9442,0.9419,1004.0,model4
0.9288,0.8224,0.8724,428.0,model4
0.8817,0.922,0.9014,372.0,model4
0.9687,0.7402,0.8391,585.0,model4
0.8493,0.8493,0.8493,0.8493,model4
0.8739,0.8562,0.8623,13659.0,model4
0.8553,0.8493,0.8499,13659.0,model4
0.8083,0.8776,0.8415,1561.0,model5
0.9041,0.713,0.7972,648.0,model5
0.736,0.7811,0.7579,571.0,model5
0.977,0.9793,0.9781,434.0,model5
0.8997,0.9258,0.9126,620.0,model5
0.982,0.9425,0.9619,174.0,model5
0.9292,0.895,0.9118,381.0,model5
0.7881,0.838,0.8123,1580.0,model5
0.8268,0.7766,0.8009,1334.0,model5
0.9269,0.7905,0.8533,401.0,model5
0.8016,0.6779,0.7345,149.0,model5
0.8961,0.8884,0.8922,932.0,model5
0.8081,0.8805,0.8428,2310.0,model5
0.9489,0.9543,0.9516,175.0,model5
0.9501,0.9293,0.9396,1004.0,model5
0.9418,0.8318,0.8834,428.0,model5
0.9556,0.8683,0.9099,372.0,model5
