Model,Architecture,Total_Layers,Hidden_Layers,Total_Params,Train_Accuracy,Test_Accuracy,Train_Precision,Test_Precision,Train_Recall,Test_Recall,Train_F1_Score,Test_F1_Score,Training_Time
model1,32 -> 16 -> 18 (softmax),3,2,72930,0.674,0.3444,0.6837,0.3515,0.674,0.3444,0.6698,0.3367,12.5437
model2,64 -> 32 -> 16 -> 18 (softmax),4,3,147106,0.8185,0.3553,0.8215,0.3585,0.8185,0.3553,0.8176,0.3523,14.388
model3,128 -> 64 -> 32 -> 16 -> 18 (softmax),5,4,299554,0.8465,0.3773,0.8527,0.3871,0.8465,0.3773,0.8481,0.3802,17.7846
model4,256 -> 128 -> 64 -> 32 -> 16 -> 18 (softmax),6,5,620834,0.8493,0.369,0.8553,0.3841,0.8493,0.369,0.8499,0.3721,26.1214
model5,256 -> 128 -> 64 -> 32 -> 18 (softmax),5,4,620594,0.8539,0.3668,0.8574,0.3749,0.8539,0.3668,0.854,0.3645,25.2375
model6,128 -> 64 -> 32 -> 18 (softmax),4,3,299314,0.8515,0.3746,0.8546,0.3762,0.8515,0.3746,0.8514,0.3691,17.3539
model7,64 -> 32 -> 18 (softmax),3,2,146866,0.8043,0.3618,0.8127,0.3732,0.8043,0.3618,0.8042,0.3583,14.5954
