,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9,Pred_10,Pred_11,Pred_12,Pred_13,Pred_14,Pred_15,Pred_16,Pred_17
True_0,1420,9,9,0,4,0,3,22,26,9,4,16,29,0,1,1,0,8
True_1,44,496,4,0,7,0,0,10,25,3,5,7,32,0,0,0,0,15
True_2,60,12,390,0,1,0,0,27,20,3,3,2,49,0,2,0,0,2
True_3,1,0,0,431,0,0,0,0,0,0,0,0,2,0,0,0,0,0
True_4,12,1,1,1,579,0,1,2,3,0,0,0,11,0,7,0,2,0
True_5,1,0,0,0,0,166,0,0,2,1,0,0,2,0,2,0,0,0
True_6,14,4,0,0,2,0,333,5,3,10,2,3,4,0,0,0,0,1
True_7,50,13,9,1,4,0,0,1271,77,5,3,6,116,0,7,6,1,11
True_8,31,7,11,3,7,0,2,35,1105,3,3,6,102,0,5,4,2,8
True_9,23,7,2,0,0,1,2,4,2,353,0,0,5,0,0,0,0,2
True_10,5,1,2,0,0,0,1,9,6,2,105,2,12,0,0,1,1,2
True_11,20,1,3,2,2,0,4,16,9,4,0,836,27,0,1,7,0,0
True_12,72,18,7,3,12,1,1,61,69,12,6,11,2018,0,9,2,0,8
True_13,0,0,0,0,0,0,0,0,0,0,0,0,0,161,7,6,1,0
True_14,1,0,0,0,11,0,1,0,3,2,0,2,10,0,963,11,0,0
True_15,5,0,4,0,7,2,0,6,1,3,0,1,4,0,18,375,1,1
True_16,9,1,3,0,0,0,5,2,2,3,0,10,9,0,0,1,326,1
True_17,60,7,2,0,1,0,0,6,4,6,0,5,22,0,1,2,2,467
