,precision,recall,f1-score,support
0,0.7768,0.9097,0.838,1561.0
1,0.8596,0.7654,0.8098,648.0
2,0.8725,0.683,0.7662,571.0
3,0.9773,0.9931,0.9851,434.0
4,0.9089,0.9339,0.9212,620.0
5,0.9765,0.954,0.9651,174.0
6,0.9433,0.874,0.9074,381.0
7,0.8611,0.8044,0.8318,1580.0
8,0.8143,0.8283,0.8213,1334.0
9,0.8425,0.8803,0.861,401.0
10,0.8015,0.7047,0.75,149.0
11,0.9217,0.897,0.9092,932.0
12,0.8223,0.8736,0.8472,2310.0
13,1.0,0.92,0.9583,175.0
14,0.9413,0.9592,0.9502,1004.0
15,0.9014,0.8762,0.8886,428.0
16,0.9702,0.8763,0.9209,372.0
17,0.8878,0.7983,0.8407,585.0
accuracy,0.8635,0.8635,0.8635,0.8635
macro avg,0.8933,0.8629,0.8762,13659.0
weighted avg,0.8664,0.8635,0.8632,13659.0
