,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9,Pred_10,Pred_11,Pred_12,Pred_13,Pred_14,Pred_15,Pred_16,Pred_17
True_0,1316,22,24,0,2,0,5,22,23,12,0,43,61,0,4,0,7,20
True_1,38,460,9,0,2,0,2,19,22,5,2,16,53,0,2,1,2,15
True_2,50,12,363,0,1,0,2,56,17,2,0,1,52,0,3,0,5,7
True_3,0,0,1,422,1,0,0,5,1,0,0,2,2,0,0,0,0,0
True_4,5,6,3,0,540,0,0,1,7,1,0,4,27,2,18,5,1,0
True_5,0,0,0,0,0,163,0,1,2,0,0,0,6,0,1,1,0,0
True_6,9,7,1,0,4,0,331,3,0,10,0,5,5,0,1,0,4,1
True_7,36,5,11,1,4,0,5,1212,74,4,0,23,188,0,4,2,2,9
True_8,41,5,10,2,3,0,1,68,991,3,2,20,170,0,6,1,7,4
True_9,21,9,3,0,3,1,7,15,3,314,0,10,5,0,5,0,3,2
True_10,10,7,7,0,0,0,1,6,10,1,77,6,20,0,0,1,2,1
True_11,16,1,4,3,0,0,3,23,6,4,0,837,27,0,3,0,4,1
True_12,51,12,12,3,15,2,7,115,76,6,2,45,1935,0,13,2,4,10
True_13,0,0,0,0,2,0,0,0,0,0,0,0,0,163,5,5,0,0
True_14,1,0,0,0,6,0,1,6,3,1,0,0,21,5,947,13,0,0
True_15,4,2,1,0,1,1,1,10,11,1,0,3,14,4,22,348,5,0
True_16,5,0,2,1,2,0,0,6,1,6,0,24,6,0,3,0,316,0
True_17,42,15,6,2,2,0,3,9,12,8,0,8,26,0,3,0,4,445
