,precision,recall,f1-score,support
0,0.8,0.843,0.821,1561.0
1,0.8171,0.7099,0.7597,648.0
2,0.7943,0.6357,0.7062,571.0
3,0.9724,0.9724,0.9724,434.0
4,0.9184,0.871,0.894,620.0
5,0.976,0.9368,0.956,174.0
6,0.897,0.8688,0.8827,381.0
7,0.7685,0.7671,0.7678,1580.0
8,0.7871,0.7429,0.7644,1334.0
9,0.8307,0.783,0.8062,401.0
10,0.9277,0.5168,0.6638,149.0
11,0.7994,0.8981,0.8459,932.0
12,0.7391,0.8377,0.7853,2310.0
13,0.9368,0.9314,0.9341,175.0
14,0.9106,0.9432,0.9266,1004.0
15,0.9182,0.8131,0.8625,428.0
16,0.8634,0.8495,0.8564,372.0
17,0.8641,0.7607,0.8091,585.0
accuracy,0.8185,0.8185,0.8185,0.8185
macro avg,0.8623,0.8156,0.8341,13659.0
weighted avg,0.8215,0.8185,0.8176,13659.0
