,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9,Pred_10,Pred_11,Pred_12,Pred_13,Pred_14,Pred_15,Pred_16,Pred_17
True_0,1192,33,18,0,8,0,9,78,52,5,2,46,90,0,6,0,5,17
True_1,116,317,7,1,3,0,15,33,42,7,5,20,62,0,2,3,4,11
True_2,101,10,209,0,2,0,0,90,46,4,2,17,79,0,2,3,1,5
True_3,1,1,0,400,2,0,1,5,2,0,0,7,9,0,5,1,0,0
True_4,19,1,0,0,508,3,2,11,10,0,0,1,23,1,29,6,4,2
True_5,4,0,0,0,1,153,2,1,3,0,0,0,4,0,3,3,0,0
True_6,22,9,0,2,7,2,270,6,6,11,0,4,23,0,3,1,10,5
True_7,122,20,35,4,9,1,2,830,163,0,1,62,291,0,6,14,10,10
True_8,59,13,19,0,11,0,3,163,764,2,1,19,254,1,7,11,3,4
True_9,66,9,0,0,5,1,20,10,9,226,0,0,38,0,1,1,9,6
True_10,18,9,3,0,0,0,2,16,15,0,37,11,34,0,0,1,3,0
True_11,80,9,4,5,3,1,1,58,17,1,2,674,56,0,4,3,8,6
True_12,88,13,14,1,23,3,13,172,131,6,5,31,1780,0,12,6,3,9
True_13,0,0,0,0,4,0,0,0,0,1,0,1,1,137,16,14,1,0
True_14,12,0,0,0,21,1,2,9,10,1,0,2,23,3,898,18,3,1
True_15,13,2,1,0,6,1,0,18,9,4,0,9,16,1,31,311,5,1
True_16,21,6,4,0,4,0,6,16,8,8,0,34,28,0,1,6,227,3
True_17,161,14,5,2,3,1,4,40,14,6,0,18,37,0,0,4,3,273
