,precision,recall,f1-score,support
0,0.569,0.7636,0.6521,1561.0
1,0.6803,0.4892,0.5691,648.0
2,0.6552,0.366,0.4697,571.0
3,0.9639,0.9217,0.9423,434.0
4,0.8194,0.8194,0.8194,620.0
5,0.9162,0.8793,0.8974,174.0
6,0.767,0.7087,0.7367,381.0
7,0.5334,0.5253,0.5293,1580.0
8,0.5872,0.5727,0.5799,1334.0
9,0.8014,0.5636,0.6618,401.0
10,0.6727,0.2483,0.3627,149.0
11,0.705,0.7232,0.714,932.0
12,0.625,0.7706,0.6902,2310.0
13,0.958,0.7829,0.8616,175.0
14,0.8752,0.8944,0.8847,1004.0
15,0.766,0.7266,0.7458,428.0
16,0.7592,0.6102,0.6766,372.0
17,0.7734,0.4667,0.5821,585.0
accuracy,0.674,0.674,0.674,0.674
macro avg,0.746,0.6573,0.6875,13659.0
weighted avg,0.6837,0.674,0.6698,13659.0
