,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9,Pred_10,Pred_11,Pred_12,Pred_13,Pred_14,Pred_15,Pred_16,Pred_17
True_0,1274,38,71,0,2,0,3,34,29,27,2,24,31,0,0,1,6,19
True_1,13,525,24,0,3,0,1,14,18,6,1,8,25,0,0,1,1,8
True_2,11,11,498,0,0,0,0,10,12,5,1,2,15,0,0,0,1,5
True_3,0,0,1,428,0,0,0,1,1,0,0,1,2,0,0,0,0,0
True_4,3,2,8,1,566,0,2,5,3,0,0,3,16,1,4,5,0,1
True_5,0,0,1,0,0,163,0,0,4,0,0,0,6,0,0,0,0,0
True_6,7,3,3,0,4,0,336,5,2,12,2,1,3,0,0,0,1,2
True_7,22,17,71,1,1,0,5,1231,79,4,5,9,110,0,4,5,2,14
True_8,14,17,33,2,7,0,0,46,1092,6,4,18,87,0,1,3,0,4
True_9,13,9,4,0,1,1,5,7,3,343,0,1,12,0,0,1,0,1
True_10,6,4,9,0,0,0,0,9,6,2,106,1,6,0,0,0,0,0
True_11,13,4,6,3,1,0,2,27,8,4,5,830,17,0,0,3,8,1
True_12,29,34,70,2,6,0,1,89,91,12,7,26,1915,0,5,4,3,16
True_13,0,0,0,0,0,0,0,0,0,1,0,0,0,171,1,2,0,0
True_14,0,3,3,0,15,0,2,6,8,3,0,1,13,8,924,17,1,0
True_15,1,3,5,0,3,2,1,6,8,1,1,3,4,7,13,370,0,0
True_16,4,0,6,0,1,0,3,5,3,3,2,5,6,0,0,2,330,2
True_17,29,23,12,0,0,0,0,7,12,11,0,7,21,0,0,1,1,461
