,precision,recall,f1-score,support
0,0.8853,0.8161,0.8493,1561.0
1,0.7576,0.8102,0.783,648.0
2,0.6036,0.8722,0.7135,571.0
3,0.9794,0.9862,0.9828,434.0
4,0.9279,0.9129,0.9203,620.0
5,0.9819,0.9368,0.9588,174.0
6,0.9307,0.8819,0.9057,381.0
7,0.8196,0.7791,0.7988,1580.0
8,0.7919,0.8186,0.805,1334.0
9,0.7795,0.8554,0.8157,401.0
10,0.7794,0.7114,0.7439,149.0
11,0.883,0.8906,0.8868,932.0
12,0.8366,0.829,0.8328,2310.0
13,0.9144,0.9771,0.9448,175.0
14,0.9706,0.9203,0.9448,1004.0
15,0.8916,0.8645,0.8778,428.0
16,0.9322,0.8871,0.9091,372.0
17,0.8633,0.788,0.8239,585.0
accuracy,0.8465,0.8465,0.8465,0.8465
macro avg,0.8627,0.8632,0.8609,13659.0
weighted avg,0.8527,0.8465,0.8481,13659.0
