,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9,Pred_10,Pred_11,Pred_12,Pred_13,Pred_14,Pred_15,Pred_16,Pred_17
True_0,1335,17,18,0,1,0,5,43,63,3,1,12,34,0,0,0,1,28
True_1,29,487,6,0,3,0,1,20,37,9,2,1,37,0,0,0,0,16
True_2,33,10,400,0,0,0,0,33,40,3,2,0,36,0,3,0,1,10
True_3,0,0,0,427,0,0,0,0,3,0,0,0,3,0,0,0,0,1
True_4,5,6,1,1,563,0,3,6,12,0,0,0,15,0,7,0,0,1
True_5,0,0,0,0,0,166,0,1,1,0,0,0,3,0,2,1,0,0
True_6,13,2,0,0,4,0,338,1,6,6,2,0,6,0,1,1,0,1
True_7,25,13,6,2,2,0,7,1278,125,0,1,5,107,0,2,1,1,5
True_8,25,5,4,0,1,1,2,32,1201,1,2,1,53,0,3,0,1,2
True_9,29,1,1,0,0,1,6,5,9,328,0,1,12,0,2,1,0,5
True_10,9,1,4,0,0,0,0,6,19,2,97,1,7,0,0,1,0,2
True_11,16,5,4,4,0,0,6,33,25,2,0,784,37,0,0,2,6,8
True_12,41,8,18,1,8,2,2,82,161,9,4,3,1952,0,7,0,1,11
True_13,0,0,0,0,1,0,0,0,0,1,0,0,0,160,7,6,0,0
True_14,5,0,0,0,12,0,0,6,6,1,0,1,11,2,940,18,1,1
True_15,5,1,1,0,7,1,1,6,11,1,0,3,9,0,13,368,1,0
True_16,6,1,1,0,3,0,1,5,8,3,2,5,9,0,1,1,322,4
True_17,32,10,1,0,0,0,0,22,11,7,0,2,25,0,0,1,1,473
