,precision,recall,f1-score,support
0,0.8302,0.8552,0.8425,1561.0
1,0.8589,0.7515,0.8016,648.0
2,0.8602,0.7005,0.7722,571.0
3,0.9816,0.9839,0.9827,434.0
4,0.9306,0.9081,0.9192,620.0
5,0.9708,0.954,0.9623,174.0
6,0.9086,0.8871,0.8977,381.0
7,0.8094,0.8089,0.8091,1580.0
8,0.691,0.9003,0.7819,1334.0
9,0.8723,0.818,0.8443,401.0
10,0.8584,0.651,0.7405,149.0
11,0.9573,0.8412,0.8955,932.0
12,0.8285,0.845,0.8367,2310.0
13,0.9877,0.9143,0.9496,175.0
14,0.9514,0.9363,0.9438,1004.0
15,0.9177,0.8598,0.8878,428.0
16,0.9583,0.8656,0.9096,372.0
17,0.8327,0.8085,0.8205,585.0
accuracy,0.8506,0.8506,0.8506,0.8506
macro avg,0.8892,0.8494,0.8665,13659.0
weighted avg,0.8574,0.8506,0.8515,13659.0
