,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9,Pred_10,Pred_11,Pred_12,Pred_13,Pred_14,Pred_15,Pred_16,Pred_17
True_0,1330,9,15,0,0,0,3,62,34,7,2,34,48,0,0,2,1,14
True_1,47,422,11,0,2,0,7,40,30,9,2,15,46,0,1,2,2,12
True_2,67,8,319,0,0,0,0,69,23,4,4,15,53,0,0,2,2,5
True_3,0,0,0,419,0,0,0,1,1,0,0,7,5,0,0,0,1,0
True_4,8,2,0,0,539,0,0,10,12,0,0,5,26,1,8,4,0,5
True_5,0,0,1,0,0,160,0,0,3,0,0,2,7,0,0,1,0,0
True_6,17,1,1,0,2,0,317,7,3,6,1,10,11,0,0,1,0,4
True_7,35,5,12,2,0,0,4,1264,61,3,1,50,127,0,1,4,3,8
True_8,48,8,8,0,0,0,3,152,927,7,4,39,125,0,2,5,1,5
True_9,25,3,3,0,0,0,4,10,5,314,0,13,14,0,3,1,1,5
True_10,9,4,3,0,0,0,1,11,9,1,87,10,14,0,0,0,0,0
True_11,21,4,3,0,0,0,0,20,4,2,1,850,21,0,0,2,3,1
True_12,47,16,14,1,2,0,2,171,91,3,10,62,1871,0,3,5,5,7
True_13,0,0,0,0,0,0,0,0,0,1,0,0,1,164,3,6,0,0
True_14,4,0,0,0,11,0,0,9,8,1,0,7,24,7,911,21,0,1
True_15,3,0,1,0,2,1,2,20,4,1,1,7,6,2,16,361,1,0
True_16,7,0,0,0,1,0,1,7,2,3,0,29,12,0,0,1,308,1
True_17,64,6,3,0,0,0,0,26,9,5,0,17,28,0,1,1,2,423
