,precision,recall,f1-score,support
0,0.7679,0.852,0.8078,1561.0
1,0.8648,0.6512,0.743,648.0
2,0.8096,0.5587,0.6611,571.0
3,0.9929,0.9654,0.979,434.0
4,0.9642,0.8694,0.9143,620.0
5,0.9938,0.9195,0.9552,174.0
6,0.9215,0.832,0.8745,381.0
7,0.6727,0.8,0.7308,1580.0
8,0.7561,0.6949,0.7242,1334.0
9,0.8556,0.783,0.8177,401.0
10,0.7699,0.5839,0.6641,149.0
11,0.7253,0.912,0.808,932.0
12,0.7671,0.81,0.788,2310.0
13,0.9425,0.9371,0.9398,175.0
14,0.96,0.9074,0.9329,1004.0
15,0.8616,0.8435,0.8524,428.0
16,0.9333,0.828,0.8775,372.0
17,0.8615,0.7231,0.7862,585.0
accuracy,0.8043,0.8043,0.8043,0.8043
macro avg,0.8567,0.8039,0.8254,13659.0
weighted avg,0.8127,0.8043,0.8042,13659.0
