,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9,Pred_10,Pred_11,Pred_12,Pred_13,Pred_14,Pred_15,Pred_16,Pred_17
True_0,1306,26,14,0,1,0,5,46,37,15,3,16,69,0,3,0,2,18
True_1,53,422,5,0,1,0,3,32,31,13,5,2,66,0,0,1,1,13
True_2,85,20,254,0,0,0,0,51,31,4,3,3,111,0,0,1,4,4
True_3,1,0,0,415,0,0,0,4,1,0,0,1,11,0,0,1,0,0
True_4,10,4,1,1,507,0,4,11,5,1,1,0,41,2,27,5,0,0
True_5,1,0,0,0,0,156,0,2,4,3,0,0,6,0,0,2,0,0
True_6,13,9,2,0,1,0,311,5,10,10,3,1,9,0,2,1,1,3
True_7,75,17,9,2,0,0,3,1067,72,11,5,17,287,0,3,1,2,9
True_8,57,19,11,0,0,1,0,112,836,11,4,11,254,0,5,3,2,8
True_9,24,10,2,0,1,0,6,10,9,313,0,1,16,0,2,0,0,7
True_10,14,6,2,0,0,0,0,9,12,1,78,0,23,0,0,1,2,1
True_11,49,6,1,3,1,0,3,44,15,4,1,729,58,0,4,0,4,10
True_12,64,26,10,0,2,0,5,119,94,9,9,12,1937,0,7,2,7,7
True_13,0,0,0,0,2,0,0,0,0,1,0,0,0,153,14,5,0,0
True_14,3,0,0,0,3,0,0,5,12,2,0,1,22,0,951,1,3,1
True_15,8,1,0,0,2,0,2,20,7,1,2,3,17,1,35,327,0,2
True_16,16,0,2,0,2,0,2,10,5,4,0,22,8,0,1,2,297,1
True_17,80,29,2,0,0,0,3,26,14,20,0,4,41,0,0,1,1,364
