,precision,recall,f1-score,support
0,0.8921,0.8104,0.8493,1561.0
1,0.7599,0.7963,0.7777,648.0
2,0.7352,0.7828,0.7583,571.0
3,0.9838,0.977,0.9803,434.0
4,0.8393,0.9435,0.8884,620.0
5,0.9649,0.9483,0.9565,174.0
6,0.9339,0.8898,0.9113,381.0
7,0.7898,0.8133,0.8014,1580.0
8,0.8067,0.7886,0.7976,1334.0
9,0.8512,0.813,0.8316,401.0
10,0.9216,0.6309,0.749,149.0
11,0.8972,0.8895,0.8933,932.0
12,0.8066,0.861,0.8329,2310.0
13,0.9333,0.96,0.9465,175.0
14,0.9815,0.9004,0.9392,1004.0
15,0.8771,0.8668,0.8719,428.0
16,0.835,0.9247,0.8776,372.0
17,0.8436,0.7932,0.8176,585.0
accuracy,0.8468,0.8468,0.8468,0.8468
macro avg,0.8696,0.855,0.86,13659.0
weighted avg,0.8497,0.8468,0.8471,13659.0
