,precision,recall,f1-score,support
0,0.8314,0.8623,0.8465,1561.0
1,0.8663,0.75,0.804,648.0
2,0.7347,0.7758,0.7547,571.0
3,0.986,0.9747,0.9803,434.0
4,0.9243,0.9065,0.9153,620.0
5,0.9878,0.931,0.9586,174.0
6,0.884,0.9003,0.8921,381.0
7,0.816,0.8057,0.8108,1580.0
8,0.797,0.8096,0.8033,1334.0
9,0.9052,0.7855,0.8411,401.0
10,0.9208,0.6242,0.744,149.0
11,0.9104,0.883,0.8965,932.0
12,0.7895,0.8753,0.8302,2310.0
13,0.9938,0.9086,0.9493,175.0
14,0.9016,0.9671,0.9332,1004.0
15,0.9402,0.8084,0.8693,428.0
16,0.9201,0.8978,0.9088,372.0
17,0.9163,0.7675,0.8353,585.0
accuracy,0.8515,0.8515,0.8515,0.8515
macro avg,0.8903,0.8463,0.8652,13659.0
weighted avg,0.8546,0.8515,0.8514,13659.0
