,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9,Pred_10,Pred_11,Pred_12,Pred_13,Pred_14,Pred_15,Pred_16,Pred_17
True_0,1346,14,38,0,5,0,4,24,34,3,1,10,59,0,6,2,5,10
True_1,29,486,12,0,3,0,3,19,27,1,1,2,55,0,1,1,1,7
True_2,33,8,443,0,1,0,3,20,14,1,0,1,37,0,5,2,2,1
True_3,1,0,0,423,0,0,0,2,0,0,0,2,6,0,0,0,0,0
True_4,4,1,4,1,562,0,2,6,6,0,0,1,22,0,9,2,0,0
True_5,0,0,1,0,0,162,0,0,2,2,0,0,4,0,2,1,0,0
True_6,10,2,0,0,3,0,343,3,2,6,1,4,5,0,0,0,1,1
True_7,36,5,30,1,5,0,7,1273,63,2,1,10,130,0,10,1,3,3
True_8,20,5,18,2,5,0,1,64,1080,3,1,10,110,0,8,4,0,3
True_9,24,6,6,0,0,0,6,8,4,315,0,6,14,0,3,2,1,6
True_10,9,2,6,0,0,0,2,8,10,1,93,4,13,0,1,0,0,0
True_11,24,4,3,2,2,0,4,24,8,0,0,823,26,0,1,2,8,1
True_12,29,11,28,0,6,1,7,78,83,5,1,18,2022,0,11,0,3,7
True_13,0,0,0,0,1,0,0,0,0,1,0,0,0,159,10,4,0,0
True_14,1,0,0,0,9,0,1,1,3,1,0,1,14,0,971,0,2,0
True_15,2,1,2,0,5,1,1,11,6,0,1,4,8,1,36,346,2,1
True_16,9,0,1,0,1,0,2,3,5,2,1,4,6,0,2,1,334,1
True_17,42,16,11,0,0,0,2,16,8,5,0,4,30,0,1,0,1,449
