,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9,Pred_10,Pred_11,Pred_12,Pred_13,Pred_14,Pred_15,Pred_16,Pred_17
True_0,1351,18,24,0,6,0,4,31,34,5,1,14,49,0,0,0,1,23
True_1,29,491,4,0,7,0,2,17,14,9,2,8,44,0,0,0,1,20
True_2,42,13,424,0,2,0,1,34,16,3,1,0,25,0,0,0,5,5
True_3,1,0,0,423,1,0,0,1,1,0,0,2,5,0,0,0,0,0
True_4,5,0,2,0,586,0,1,4,2,0,0,0,16,0,4,0,0,0
True_5,0,0,0,0,0,165,0,0,3,0,0,0,6,0,0,0,0,0
True_6,8,2,1,0,3,0,346,4,1,6,1,1,4,0,0,0,1,3
True_7,30,9,11,0,10,0,3,1382,32,5,1,5,73,0,3,0,1,15
True_8,29,8,10,0,11,0,1,78,1076,4,1,5,98,0,0,1,3,9
True_9,24,2,1,0,0,1,7,5,1,346,0,0,12,0,0,0,0,2
True_10,7,2,3,0,0,0,1,14,8,1,94,3,14,0,0,1,1,0
True_11,20,0,4,0,2,0,5,28,9,3,0,837,15,0,0,0,2,7
True_12,28,8,24,0,10,0,3,126,66,7,0,17,2011,0,2,0,3,5
True_13,0,0,0,0,1,0,0,0,0,0,0,0,0,165,7,2,0,0
True_14,1,0,0,0,14,0,0,2,9,1,0,2,16,1,955,0,1,2
True_15,5,1,1,0,6,2,0,12,6,1,0,8,7,3,31,343,1,1
True_16,8,1,0,0,1,0,2,2,2,3,0,7,6,0,0,0,337,3
True_17,35,4,4,0,2,0,1,8,2,5,0,3,30,0,0,0,0,491
