,precision,recall,f1-score,support
0,0.8392,0.8527,0.8459,1561.0
1,0.8344,0.8009,0.8173,648.0
2,0.8947,0.6848,0.7758,571.0
3,0.9953,0.9793,0.9872,434.0
4,0.9192,0.9177,0.9185,620.0
5,0.9709,0.9598,0.9653,174.0
6,0.988,0.8635,0.9216,381.0
7,0.7732,0.8715,0.8194,1580.0
8,0.904,0.7339,0.8101,1334.0
9,0.8174,0.8928,0.8534,401.0
10,0.7062,0.7584,0.7314,149.0
11,0.911,0.8895,0.9001,932.0
12,0.8053,0.8879,0.8446,2310.0
13,0.9653,0.9543,0.9598,175.0
14,0.9477,0.9572,0.9524,1004.0
15,0.8847,0.8785,0.8816,428.0
16,0.9543,0.8978,0.9252,372.0
17,0.8419,0.8376,0.8398,585.0
accuracy,0.8614,0.8614,0.8614,0.8614
macro avg,0.8863,0.8677,0.875,13659.0
weighted avg,0.8657,0.8614,0.8612,13659.0
