,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9,Pred_10,Pred_11,Pred_12,Pred_13,Pred_14,Pred_15,Pred_16,Pred_17
True_0,1331,16,9,0,5,0,2,44,17,20,5,18,58,0,0,0,2,34
True_1,32,519,1,0,5,0,0,25,5,7,2,5,30,0,0,1,1,15
True_2,58,12,391,0,1,0,0,31,5,5,8,2,49,0,0,2,1,6
True_3,0,0,0,425,2,0,0,2,2,0,0,1,2,0,0,0,0,0
True_4,1,2,2,0,569,0,0,6,0,1,0,1,22,0,12,4,0,0
True_5,0,0,0,0,0,167,0,0,2,0,0,0,3,0,0,2,0,0
True_6,7,3,0,0,2,0,329,6,2,11,2,5,12,0,0,0,1,1
True_7,29,6,5,0,5,0,1,1377,26,7,8,4,98,0,2,6,1,5
True_8,37,21,14,0,8,1,1,96,979,6,13,12,124,0,7,5,0,10
True_9,10,4,0,0,0,1,0,3,3,358,0,1,15,0,0,1,1,4
True_10,7,3,0,0,0,0,0,12,2,1,113,4,7,0,0,0,0,0
True_11,16,3,5,2,3,0,0,22,8,4,0,829,26,0,0,2,6,6
True_12,26,23,8,0,8,1,0,120,24,4,6,15,2051,0,8,6,1,9
True_13,0,0,0,0,0,0,0,0,0,0,0,0,0,167,3,5,0,0
True_14,0,0,0,0,6,0,0,4,2,1,0,1,8,5,961,13,2,1
True_15,4,0,0,0,3,2,0,13,2,2,1,0,4,1,20,376,0,0
True_16,4,0,2,0,1,0,0,7,3,2,2,8,7,0,0,1,334,1
True_17,24,10,0,0,1,0,0,13,1,9,0,4,31,0,1,1,0,490
