,precision,recall,f1-score,support
0,0.8083,0.8776,0.8415,1561.0
1,0.9041,0.713,0.7972,648.0
2,0.736,0.7811,0.7579,571.0
3,0.977,0.9793,0.9781,434.0
4,0.8997,0.9258,0.9126,620.0
5,0.982,0.9425,0.9619,174.0
6,0.9292,0.895,0.9118,381.0
7,0.7881,0.838,0.8123,1580.0
8,0.8268,0.7766,0.8009,1334.0
9,0.9269,0.7905,0.8533,401.0
10,0.8016,0.6779,0.7345,149.0
11,0.8961,0.8884,0.8922,932.0
12,0.8081,0.8805,0.8428,2310.0
13,0.9489,0.9543,0.9516,175.0
14,0.9501,0.9293,0.9396,1004.0
15,0.9418,0.8318,0.8834,428.0
16,0.9556,0.8683,0.9099,372.0
17,0.8836,0.7915,0.835,585.0
accuracy,0.8539,0.8539,0.8539,0.8539
macro avg,0.8869,0.8523,0.8676,13659.0
weighted avg,0.8574,0.8539,0.854,13659.0
