,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9,Pred_10,Pred_11,Pred_12,Pred_13,Pred_14,Pred_15,Pred_16,Pred_17
True_0,1370,10,37,1,6,0,3,24,32,2,5,14,40,0,2,0,1,14
True_1,40,462,19,0,6,0,2,23,19,4,5,2,45,0,1,1,0,19
True_2,28,4,446,0,0,0,0,36,16,1,1,2,30,0,2,0,2,3
True_3,1,0,0,425,1,0,0,1,1,0,0,2,3,0,0,0,0,0
True_4,5,1,4,2,574,0,2,7,7,0,1,1,12,1,3,0,0,0
True_5,0,0,2,0,0,164,0,1,2,0,0,0,4,0,0,1,0,0
True_6,12,3,2,0,4,0,341,4,2,2,1,2,5,0,1,0,1,1
True_7,43,4,18,2,4,0,0,1324,42,1,4,17,113,0,1,1,1,5
True_8,29,6,21,0,6,1,1,83,1036,2,2,11,129,0,1,1,1,4
True_9,29,4,6,0,0,1,9,6,5,317,0,3,15,1,4,0,1,0
True_10,8,2,4,0,0,0,1,10,9,1,101,4,8,0,0,1,0,0
True_11,28,1,2,3,2,0,5,20,4,1,0,828,28,0,0,2,4,4
True_12,43,6,25,2,9,0,1,110,46,1,5,13,2034,0,3,2,1,9
True_13,0,0,0,0,0,0,0,0,0,0,0,0,0,167,3,5,0,0
True_14,1,1,3,0,18,0,0,8,10,0,0,2,13,6,933,6,2,1
True_15,4,0,5,0,7,1,1,6,5,1,0,7,7,1,26,356,0,1
True_16,9,1,3,0,1,0,1,6,4,2,1,10,8,0,1,2,323,0
True_17,45,6,9,0,0,0,0,11,13,7,0,6,23,0,1,0,1,463
