,precision,recall,f1-score,support
0,0.7939,0.8885,0.8386,1561.0
1,0.9654,0.6883,0.8036,648.0
2,0.7551,0.7828,0.7687,571.0
3,0.9976,0.9677,0.9825,434.0
4,0.9154,0.9081,0.9117,620.0
5,0.9763,0.9483,0.9621,174.0
6,0.8954,0.9213,0.9082,381.0
7,0.7978,0.8266,0.8119,1580.0
8,0.8569,0.7676,0.8098,1334.0
9,0.9101,0.783,0.8418,401.0
10,0.6316,0.8054,0.708,149.0
11,0.9282,0.8734,0.8999,932.0
12,0.8025,0.8797,0.8393,2310.0
13,0.9235,0.9657,0.9441,175.0
14,0.9498,0.9243,0.9369,1004.0
15,0.8902,0.8715,0.8808,428.0
16,0.9227,0.8978,0.9101,372.0
17,0.8713,0.8103,0.8397,585.0
accuracy,0.8542,0.8542,0.8542,0.8542
macro avg,0.8769,0.8617,0.8665,13659.0
weighted avg,0.8594,0.8542,0.8544,13659.0
