,precision,recall,f1-score,support
0,0.7796,0.9199,0.844,1561.0
1,0.9304,0.7222,0.8132,648.0
2,0.835,0.7356,0.7821,571.0
3,0.9907,0.9839,0.9873,434.0
4,0.9374,0.9177,0.9275,620.0
5,0.9765,0.954,0.9651,174.0
6,0.9939,0.8583,0.9211,381.0
7,0.795,0.8614,0.8269,1580.0
8,0.9048,0.7549,0.823,1334.0
9,0.944,0.798,0.8649,401.0
10,0.9065,0.651,0.7578,149.0
11,0.8074,0.9582,0.8763,932.0
12,0.8327,0.8749,0.8533,2310.0
13,0.9879,0.9314,0.9588,175.0
14,0.9478,0.9582,0.9529,1004.0
15,0.9724,0.8224,0.8911,428.0
16,0.8741,0.9516,0.9112,372.0
17,0.8967,0.8017,0.8466,585.0
accuracy,0.8648,0.8648,0.8648,0.8648
macro avg,0.9063,0.8586,0.878,13659.0
weighted avg,0.8712,0.8648,0.8643,13659.0
