,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9,Pred_10,Pred_11,Pred_12,Pred_13,Pred_14,Pred_15,Pred_16,Pred_17
True_0,1436,8,13,0,4,0,2,24,6,2,1,33,19,0,0,0,7,6
True_1,40,468,11,0,4,0,0,28,18,0,2,16,45,0,0,0,2,14
True_2,57,5,420,0,0,0,0,30,3,1,0,5,37,0,2,0,7,4
True_3,0,0,0,427,0,0,0,0,0,0,0,2,5,0,0,0,0,0
True_4,4,1,1,1,569,0,0,7,5,0,0,5,21,0,5,0,1,0
True_5,0,0,0,0,0,166,0,0,1,0,0,0,5,0,2,0,0,0
True_6,8,3,2,0,3,0,327,9,1,8,2,9,6,0,0,0,2,1
True_7,52,1,10,1,2,0,0,1361,29,1,2,34,71,0,1,0,4,11
True_8,65,2,20,1,4,1,0,77,1007,0,3,22,112,0,5,2,5,8
True_9,27,7,3,0,0,1,0,10,2,320,0,9,17,0,0,0,4,1
True_10,12,1,5,0,0,0,0,9,3,1,97,8,10,0,0,1,2,0
True_11,10,0,3,1,0,0,0,8,2,0,0,893,8,0,0,0,5,2
True_12,66,1,10,0,2,0,0,121,31,0,0,42,2021,0,5,0,5,6
True_13,0,0,0,0,1,0,0,0,0,0,0,0,0,163,7,4,0,0
True_14,3,0,0,0,12,0,0,6,2,1,0,2,11,0,962,3,2,0
True_15,6,1,2,0,6,2,0,9,3,1,0,7,9,2,26,352,1,1
True_16,5,0,0,0,0,0,0,1,0,0,0,8,4,0,0,0,354,0
True_17,51,5,3,0,0,0,0,12,0,4,0,11,26,0,0,0,4,469
