Model,Architecture,Total_Layers,Hidden_Layers,Total_Params,Train_Accuracy,Test_Accuracy,Train_Precision,Test_Precision,Train_Recall,Test_Recall,Train_F1_Score,Test_F1_Score,Training_Time
model1,32 -> 16 -> 18 (softmax),3,2,416962,0.8656,0.3025,0.8718,0.5045,0.8656,0.3025,0.8665,0.298,22.1098
model2,64 -> 32 -> 16 -> 18 (softmax),4,3,835170,0.862,0.3013,0.8649,0.4878,0.862,0.3013,0.8617,0.2977,27.8677
model3,128 -> 64 -> 32 -> 16 -> 18 (softmax),5,4,1675682,0.8614,0.2439,0.8657,0.5399,0.8614,0.2439,0.8612,0.3043,37.8654
model4,256 -> 128 -> 64 -> 32 -> 16 -> 18 (softmax),6,5,3373090,0.8635,0.2836,0.8664,0.5206,0.8635,0.2836,0.8632,0.3031,53.6772
model5,256 -> 128 -> 64 -> 32 -> 18 (softmax),5,4,3372850,0.8656,0.2673,0.8681,0.473,0.8656,0.2673,0.8654,0.2914,53.4608
model6,128 -> 64 -> 32 -> 18 (softmax),4,3,1675442,0.8648,0.2892,0.8712,0.4858,0.8648,0.2892,0.8643,0.2964,39.1506
model7,64 -> 32 -> 18 (softmax),3,2,834930,0.8657,0.3047,0.8721,0.4993,0.8657,0.3047,0.8662,0.2996,31.1136
