,precision,recall,f1-score,support
0,0.767,0.8648,0.813,1561.0
1,0.8274,0.6806,0.7468,648.0
2,0.6731,0.6743,0.6737,571.0
3,0.9928,0.9562,0.9742,434.0
4,0.9364,0.879,0.9068,620.0
5,0.9699,0.9253,0.9471,174.0
6,0.875,0.8451,0.8598,381.0
7,0.7609,0.6867,0.7219,1580.0
8,0.6107,0.8268,0.7025,1334.0
9,0.9175,0.6933,0.7898,401.0
10,0.7677,0.5101,0.6129,149.0
11,0.8411,0.8519,0.8465,932.0
12,0.7882,0.7944,0.7913,2310.0
13,0.9688,0.8857,0.9254,175.0
14,0.9282,0.9402,0.9342,1004.0
15,0.9126,0.7804,0.8413,428.0
16,0.8391,0.8414,0.8403,372.0
17,0.8904,0.6667,0.7625,585.0
accuracy,0.7999,0.7999,0.7999,0.7999
macro avg,0.8482,0.7946,0.8161,13659.0
weighted avg,0.8098,0.7999,0.8007,13659.0
