,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9,Pred_10,Pred_11,Pred_12,Pred_13,Pred_14,Pred_15,Pred_16,Pred_17
True_0,1350,9,28,0,4,0,7,23,57,2,1,22,41,0,2,0,1,14
True_1,39,441,20,0,4,0,4,22,52,4,2,2,38,0,1,1,3,15
True_2,52,7,385,0,0,0,0,43,41,0,0,4,34,0,1,2,0,2
True_3,1,0,2,415,3,0,0,3,3,0,0,3,2,0,0,1,0,1
True_4,4,2,5,1,545,0,0,6,15,0,1,4,17,1,15,2,2,0
True_5,0,0,1,0,1,161,0,0,8,0,0,0,1,0,0,1,1,0
True_6,11,4,3,0,4,0,322,3,3,6,4,3,10,0,0,1,6,1
True_7,44,4,32,0,2,0,3,1085,191,1,4,36,161,0,2,6,6,3
True_8,24,7,22,0,2,2,2,59,1103,0,3,15,85,0,2,2,6,0
True_9,44,12,4,0,0,1,15,5,13,278,1,8,16,1,0,0,0,3
True_10,10,7,7,0,0,0,1,6,22,1,76,4,9,0,0,1,5,0
True_11,38,3,7,1,0,0,5,19,27,1,0,794,22,0,0,1,13,1
True_12,57,12,38,1,5,1,3,120,194,1,4,21,1835,0,6,2,4,6
True_13,0,0,0,0,1,0,0,0,0,0,0,0,0,155,13,6,0,0
True_14,3,1,0,0,5,0,1,4,25,2,0,0,9,2,944,6,2,0
True_15,3,1,2,0,5,1,1,10,20,1,0,2,10,1,31,334,5,1
True_16,10,2,0,0,0,0,1,4,7,3,3,15,13,0,0,0,313,1
True_17,70,21,16,0,1,0,3,14,25,3,0,11,25,0,0,0,6,390
