,precision,recall,f1-score,support
0,0.8392,0.8559,0.8474,1561.0
1,0.7561,0.8133,0.7836,648.0
2,0.8215,0.7093,0.7613,571.0
3,0.9837,0.9747,0.9792,434.0
4,0.9355,0.9129,0.9241,620.0
5,0.9818,0.931,0.9558,174.0
6,0.8333,0.9318,0.8798,381.0
7,0.8174,0.8044,0.8108,1580.0
8,0.7139,0.8793,0.788,1334.0
9,0.9325,0.7581,0.8363,401.0
10,0.6845,0.7718,0.7256,149.0
11,0.9337,0.8616,0.8962,932.0
12,0.8343,0.8303,0.8323,2310.0
13,0.9432,0.9486,0.9459,175.0
14,0.9395,0.9442,0.9419,1004.0
15,0.9288,0.8224,0.8724,428.0
16,0.8817,0.922,0.9014,372.0
17,0.9687,0.7402,0.8391,585.0
accuracy,0.8493,0.8493,0.8493,0.8493
macro avg,0.8739,0.8562,0.8623,13659.0
weighted avg,0.8553,0.8493,0.8499,13659.0
