,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9,Pred_10,Pred_11,Pred_12,Pred_13,Pred_14,Pred_15,Pred_16,Pred_17
True_0,1336,20,32,0,3,0,14,31,68,3,4,7,38,0,0,0,2,3
True_1,26,527,10,0,3,0,7,13,32,1,5,1,19,0,1,0,1,2
True_2,25,18,405,0,0,0,2,26,37,2,6,0,43,0,4,0,2,1
True_3,1,0,0,423,1,0,0,3,1,0,0,3,2,0,0,0,0,0
True_4,6,0,0,0,566,0,1,10,1,0,1,1,25,0,6,1,2,0
True_5,0,0,0,0,0,162,0,1,3,2,1,0,3,0,2,0,0,0
True_6,1,2,1,0,3,0,355,3,2,3,1,0,5,0,1,1,3,0
True_7,31,24,10,1,1,0,8,1271,104,1,10,10,100,0,3,0,5,1
True_8,13,12,5,2,1,0,0,48,1173,2,7,5,56,0,6,0,4,0
True_9,24,9,1,0,0,0,16,6,7,304,2,0,20,1,0,3,3,5
True_10,9,2,2,0,0,0,1,4,9,0,115,3,2,0,0,0,2,0
True_11,34,14,3,1,0,0,6,23,14,2,1,803,15,0,1,3,11,1
True_12,29,39,14,3,8,1,8,84,154,1,13,22,1918,0,8,3,4,1
True_13,0,0,0,0,1,0,0,0,0,0,0,0,0,166,5,3,0,0
True_14,0,0,2,0,12,0,3,4,7,0,0,1,11,3,948,11,2,0
True_15,7,0,2,0,5,2,0,10,10,0,1,1,7,6,23,352,2,0
True_16,9,0,3,0,1,0,2,1,4,1,1,2,4,0,1,0,343,0
True_17,41,30,3,0,0,0,3,17,17,4,0,1,31,0,0,2,3,433
