,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9,Pred_10,Pred_11,Pred_12,Pred_13,Pred_14,Pred_15,Pred_16,Pred_17
True_0,1263,23,28,0,7,0,12,25,43,9,4,50,41,0,0,0,6,50
True_1,20,496,6,0,6,0,5,14,18,3,3,10,38,0,0,0,3,26
True_2,22,10,427,0,3,0,3,18,15,5,6,5,34,0,2,0,6,15
True_3,0,1,0,427,1,0,0,0,2,0,0,1,2,0,0,0,0,0
True_4,1,3,1,0,583,0,2,8,2,0,0,1,11,1,4,1,1,1
True_5,0,0,0,0,0,168,0,0,1,0,0,0,3,0,2,0,0,0
True_6,2,0,0,0,2,0,361,2,1,1,1,5,3,0,0,0,1,2
True_7,20,11,13,1,6,0,10,1245,92,5,12,39,102,0,1,2,1,20
True_8,15,12,12,0,11,1,1,32,1132,3,6,19,64,0,5,3,4,14
True_9,11,5,0,0,0,1,14,5,1,340,0,7,10,0,0,0,0,7
True_10,3,2,1,0,0,0,1,5,9,1,113,8,1,0,0,0,3,2
True_11,1,3,2,1,2,0,4,7,3,2,0,892,7,0,0,1,1,6
True_12,19,15,15,2,10,2,7,64,97,5,11,42,1979,0,6,1,6,29
True_13,0,0,0,0,0,0,0,0,0,0,0,0,0,172,2,1,0,0
True_14,0,1,0,0,13,0,2,5,5,2,0,2,8,6,953,5,1,1
True_15,6,0,1,0,5,2,0,8,2,2,1,5,7,7,23,356,1,2
True_16,2,2,1,0,0,0,1,3,1,3,0,12,4,0,0,0,340,3
True_17,13,7,2,0,1,0,3,6,1,5,0,5,14,0,0,0,1,527
