,precision,recall,f1-score,support
0,0.8772,0.8463,0.8614,1561.0
1,0.7707,0.8349,0.8015,648.0
2,0.7961,0.7793,0.7876,571.0
3,0.993,0.9816,0.9873,434.0
4,0.9225,0.921,0.9217,620.0
5,0.9939,0.9368,0.9645,174.0
6,0.9243,0.8976,0.9108,381.0
7,0.731,0.9203,0.8148,1580.0
8,0.8901,0.7646,0.8226,1334.0
9,0.9386,0.8005,0.8641,401.0
10,0.8347,0.6779,0.7481,149.0
11,0.935,0.8798,0.9066,932.0
12,0.8356,0.8714,0.8531,2310.0
13,0.9763,0.9429,0.9593,175.0
14,0.9362,0.9651,0.9505,1004.0
15,0.9318,0.8621,0.8956,428.0
16,0.9516,0.8978,0.9239,372.0
17,0.9453,0.7675,0.8472,585.0
accuracy,0.8657,0.8657,0.8657,0.8657
macro avg,0.8991,0.8637,0.8789,13659.0
weighted avg,0.8721,0.8657,0.8662,13659.0
